题目ID	题目	正确答案	答案1	答案2	答案3	答案4
1044	Question44	4	Answer44_2	Answer44_4	Answer44_3	Answer44_1
1045	Question45	4	Answer45_2	Answer45_4	Answer45_3	Answer45_1
1046	Question46	4	Answer46_2	Answer46_4	Answer46_3	Answer46_1
1047	Question47	4	Answer47_2	Answer47_4	Answer47_3	Answer47_1
1048	Question48	4	Answer48_2	Answer48_4	Answer48_3	Answer48_1
1050	Question50	4	Answer50_2	Answer50_4	Answer50_3	Answer50_1
1051	Question51	2	Answer51_2	Answer51_1	Answer51_3	Answer51_4
1052	Question52	2	Answer52_2	Answer52_1	Answer52_3	Answer52_4
1053	Question53	2	Answer53_2	Answer53_1	Answer53_3	Answer53_4
1055	Question55	2	Answer55_2	Answer55_1	Answer55_3	Answer55_4
1056	Question56	2	Answer56_2	Answer56_1	Answer56_3	Answer56_4
1057	Question57	2	Answer57_2	Answer57_1	Answer57_3	Answer57_4
1058	Question58	2	Answer58_2	Answer58_1	Answer58_3	Answer58_4
1059	Question59	2	Answer59_2	Answer59_1	Answer59_3	Answer59_4
1060	Question60	2	Answer60_2	Answer60_1	Answer60_3	Answer60_4
1061	Question61	1	Answer61_1	Answer61_2	Answer61_3	Answer61_4
2001	RingQuestion2001	1	Answer2001_1	Answer2001_2	Answer2001_3	Answer2001_4
2002	RingQuestion2002	1	Answer2002_1	Answer2002_2	Answer2002_3	Answer2002_4
2003	RingQuestion2003	1	Answer2003_1	Answer2003_2	Answer2003_3	Answer2003_4
2004	RingQuestion2004	1	Answer2004_1	Answer2004_2	Answer2004_3	Answer2004_4
2006	RingQuestion2006	2	Answer2006_1	Answer2006_2	Answer2006_3	Answer2006_4
2007	RingQuestion2007	2	Answer2007_1	Answer2007_2	Answer2007_3	Answer2007_4
2008	RingQuestion2008	2	Answer2008_1	Answer2008_2	Answer2008_3	Answer2008_4
2009	RingQuestion2009	2	Answer2009_1	Answer2009_2	Answer2009_3	Answer2009_4
2010	RingQuestion2010	2	Answer2010_1	Answer2010_2	Answer2010_3	Answer2010_4
2011	RingQuestion2011	3	Answer2011_1	Answer2011_2	Answer2011_3	Answer2011_4
2012	RingQuestion2012	4	Answer2012_1	Answer2012_2	Answer2012_3	Answer2012_4
2013	RingQuestion2013	3	Answer2013_1	Answer2013_2	Answer2013_3	Answer2013_4
2014	RingQuestion2014	1	Answer2014_1	Answer2014_2	Answer2014_3	Answer2014_4
2015	RingQuestion2015	3	Answer2015_1	Answer2015_2	Answer2015_3	Answer2015_4
2016	RingQuestion2016	4	Answer2016_1	Answer2016_2	Answer2016_3	Answer2016_4
2017	RingQuestion2017	4	Answer2017_1	Answer2017_2	Answer2017_3	Answer2017_4
2018	RingQuestion2018	1	Answer2018_1	Answer2018_2	Answer2018_3	Answer2018_4
2019	RingQuestion2019	4	Answer2019_1	Answer2019_2	Answer2019_3	Answer2019_4
2020	RingQuestion2020	4	Answer2020_1	Answer2020_2	Answer2020_3	Answer2020_4
2021	RingQuestion2021	1	Answer2021_1	Answer2021_2	Answer2021_3	Answer2021_4
2022	RingQuestion2022	1	Answer2022_1	Answer2022_2	Answer2022_3	Answer2022_4
2023	RingQuestion2023	1	Answer2023_1	Answer2023_2	Answer2023_3	Answer2023_4
2025	RingQuestion2025	1	Answer2025_1	Answer2025_2	Answer2025_3	Answer2025_4
2026	RingQuestion2026	2	Answer2026_1	Answer2026_2	Answer2026_3	Answer2026_4
2027	RingQuestion2027	2	Answer2027_1	Answer2027_2	Answer2027_3	Answer2027_4
2028	RingQuestion2028	2	Answer2028_1	Answer2028_2	Answer2028_3	Answer2028_4
2030	RingQuestion2030	2	Answer2030_1	Answer2030_2	Answer2030_3	Answer2030_4
2031	RingQuestion2031	3	Answer2031_1	Answer2031_2	Answer2031_3	Answer2031_4
2032	RingQuestion2032	3	Answer2032_1	Answer2032_2	Answer2032_3	Answer2032_4
2034	RingQuestion2034	3	Answer2034_1	Answer2034_2	Answer2034_3	Answer2034_4
2035	RingQuestion2035	3	Answer2035_1	Answer2035_2	Answer2035_3	Answer2035_4
2036	RingQuestion2036	4	Answer2036_1	Answer2036_2	Answer2036_3	Answer2036_4
2037	RingQuestion2037	4	Answer2037_1	Answer2037_2	Answer2037_3	Answer2037_4
2038	RingQuestion2038	4	Answer2038_1	Answer2038_2	Answer2038_3	Answer2038_4
2039	RingQuestion2039	4	Answer2039_1	Answer2039_2	Answer2039_3	Answer2039_4
2041	RingQuestion2041	1	Answer2041_1	Answer2041_2	Answer2041_3	Answer2041_4
2042	RingQuestion2042	1	Answer2042_1	Answer2042_2	Answer2042_3	Answer2042_4
2043	RingQuestion2043	1	Answer2043_1	Answer2043_2	Answer2043_3	Answer2043_4
2044	RingQuestion2044	1	Answer2044_1	Answer2044_2	Answer2044_3	Answer2044_4
2045	RingQuestion2045	1	Answer2045_1	Answer2045_2	Answer2045_3	Answer2045_4
2046	RingQuestion2046	2	Answer2046_1	Answer2046_2	Answer2046_3	Answer2046_4
2047	RingQuestion2047	2	Answer2047_1	Answer2047_2	Answer2047_3	Answer2047_4
2048	RingQuestion2048	2	Answer2048_1	Answer2048_2	Answer2048_3	Answer2048_4
2049	RingQuestion2049	2	Answer2049_1	Answer2049_2	Answer2049_3	Answer2049_4
2050	RingQuestion2050	2	Answer2050_1	Answer2050_2	Answer2050_3	Answer2050_4
2052	RingQuestion2052	3	Answer2052_1	Answer2052_2	Answer2052_3	Answer2052_4
2053	RingQuestion2053	3	Answer2053_1	Answer2053_2	Answer2053_3	Answer2053_4
2054	RingQuestion2054	3	Answer2054_1	Answer2054_2	Answer2054_3	Answer2054_4
2055	RingQuestion2055	3	Answer2055_1	Answer2055_2	Answer2055_3	Answer2055_4
2056	RingQuestion2056	4	Answer2056_1	Answer2056_2	Answer2056_3	Answer2056_4
2059	RingQuestion2059	4	Answer2059_1	Answer2059_2	Answer2059_3	Answer2059_4
2060	RingQuestion2060	4	Answer2060_1	Answer2060_2	Answer2060_3	Answer2060_4
2061	RingQuestion2061	1	Answer2061_1	Answer2061_2	Answer2061_3	Answer2061_4
2062	RingQuestion2062	1	Answer2062_1	Answer2062_2	Answer2062_3	Answer2062_4
2063	RingQuestion2063	1	Answer2063_1	Answer2063_2	Answer2063_3	Answer2063_4
2065	RingQuestion2065	1	Answer2065_1	Answer2065_2	Answer2065_3	Answer2065_4
2066	RingQuestion2066	1	Answer2066_1	Answer2066_2	Answer2066_3	Answer2066_4
2067	RingQuestion2067	1	Answer2067_1	Answer2067_2	Answer2067_3	Answer2067_4
2068	RingQuestion2068	1	Answer2068_1	Answer2068_2	Answer2068_3	Answer2068_4
2069	RingQuestion2069	1	Answer2069_1	Answer2069_2	Answer2069_3	Answer2069_4
2070	RingQuestion2070	1	Answer2070_1	Answer2070_2	Answer2070_3	Answer2070_4
2071	RingQuestion2071	2	Answer2071_1	Answer2071_2	Answer2071_3	Answer2071_4
2072	RingQuestion2072	2	Answer2072_1	Answer2072_2	Answer2072_3	Answer2072_4
2073	RingQuestion2073	2	Answer2073_1	Answer2073_2	Answer2073_3	Answer2073_4
2074	RingQuestion2074	2	Answer2074_1	Answer2074_2	Answer2074_3	Answer2074_4
2075	RingQuestion2075	2	Answer2075_1	Answer2075_2	Answer2075_3	Answer2075_4
2076	RingQuestion2076	2	Answer2076_1	Answer2076_2	Answer2076_3	Answer2076_4
2077	RingQuestion2077	2	Answer2077_1	Answer2077_2	Answer2077_3	Answer2077_4
2078	RingQuestion2078	2	Answer2078_1	Answer2078_2	Answer2078_3	Answer2078_4
2079	RingQuestion2079	2	Answer2079_1	Answer2079_2	Answer2079_3	Answer2079_4
2080	RingQuestion2080	2	Answer2080_1	Answer2080_2	Answer2080_3	Answer2080_4
2081	RingQuestion2081	3	Answer2081_1	Answer2081_2	Answer2081_3	Answer2081_4
2082	RingQuestion2082	3	Answer2082_1	Answer2082_2	Answer2082_3	Answer2082_4
2087	RingQuestion2087	3	Answer2087_1	Answer2087_2	Answer2087_3	Answer2087_4
2088	RingQuestion2088	3	Answer2088_1	Answer2088_2	Answer2088_3	Answer2088_4
2090	RingQuestion2090	3	Answer2090_1	Answer2090_2	Answer2090_3	Answer2090_4
2091	RingQuestion2091	4	Answer2091_1	Answer2091_2	Answer2091_3	Answer2091_4
2092	RingQuestion2092	4	Answer2092_1	Answer2092_2	Answer2092_3	Answer2092_4
2093	RingQuestion2093	4	Answer2093_1	Answer2093_2	Answer2093_3	Answer2093_4
2095	RingQuestion2095	4	Answer2095_1	Answer2095_2	Answer2095_3	Answer2095_4
2096	RingQuestion2096	4	Answer2096_1	Answer2096_2	Answer2096_3	Answer2096_4
2097	RingQuestion2097	4	Answer2097_1	Answer2097_2	Answer2097_3	Answer2097_4
2099	RingQuestion2099	4	Answer2099_1	Answer2099_2	Answer2099_3	Answer2099_4
2100	RingQuestion2100	4	Answer2100_1	Answer2100_2	Answer2100_3	Answer2100_4
2101	RingQuestion2101	1	Answer2101_1	Answer2101_2	Answer2101_3	Answer2101_4
2103	RingQuestion2103	1	Answer2103_1	Answer2103_2	Answer2103_3	Answer2103_4
2104	RingQuestion2104	1	Answer2104_1	Answer2104_2	Answer2104_3	Answer2104_4
3001	RingQuestion3001	2	Answer3001_1	Answer3001_2	Answer3001_3	Answer3001_4
3002	RingQuestion3002	2	Answer3002_1	Answer3002_2	Answer3002_3	Answer3002_4
3003	RingQuestion3003	2	Answer3003_1	Answer3003_2	Answer3003_3	Answer3003_4
3004	RingQuestion3004	2	Answer3004_1	Answer3004_2	Answer3004_3	Answer3004_4
3005	RingQuestion3005	2	Answer3005_1	Answer3005_2	Answer3005_3	Answer3005_4
3006	RingQuestion3006	3	Answer3006_1	Answer3006_2	Answer3006_3	Answer3006_4
3007	RingQuestion3007	3	Answer3007_1	Answer3007_2	Answer3007_3	Answer3007_4
3008	RingQuestion3008	3	Answer3008_1	Answer3008_2	Answer3008_3	Answer3008_4
3009	RingQuestion3009	3	Answer3009_1	Answer3009_2	Answer3009_3	Answer3009_4
3010	RingQuestion3010	3	Answer3010_1	Answer3010_2	Answer3010_3	Answer3010_4
3011	RingQuestion3011	4	Answer3011_1	Answer3011_2	Answer3011_3	Answer3011_4
3012	RingQuestion3012	4	Answer3012_1	Answer3012_2	Answer3012_3	Answer3012_4
3013	RingQuestion3013	4	Answer3013_1	Answer3013_2	Answer3013_3	Answer3013_4
3014	RingQuestion3014	4	Answer3014_1	Answer3014_2	Answer3014_3	Answer3014_4
3015	RingQuestion3015	4	Answer3015_1	Answer3015_2	Answer3015_3	Answer3015_4
3016	RingQuestion3016	1	Answer3016_1	Answer3016_2	Answer3016_3	Answer3016_4
3017	RingQuestion3017	1	Answer3017_1	Answer3017_2	Answer3017_3	Answer3017_4
3018	RingQuestion3018	1	Answer3018_1	Answer3018_2	Answer3018_3	Answer3018_4
3019	RingQuestion3019	1	Answer3019_1	Answer3019_2	Answer3019_3	Answer3019_4
3020	RingQuestion3020	1	Answer3020_1	Answer3020_2	Answer3020_3	Answer3020_4
3021	RingQuestion3021	1	Answer3021_1	Answer3021_2	Answer3021_3	Answer3021_4
3022	RingQuestion3022	1	Answer3022_1	Answer3022_2	Answer3022_3	Answer3022_4
4001	RingQuestion4001	1	Answer4001_1	Answer4001_2	Answer4001_3	Answer4001_4
4002	RingQuestion4002	1	Answer4002_1	Answer4002_2	Answer4002_3	Answer4002_4
4003	RingQuestion4003	1	Answer4003_1	Answer4003_2	Answer4003_3	Answer4003_4
4004	RingQuestion4004	1	Answer4004_1	Answer4004_2	Answer4004_3	Answer4004_4
4005	RingQuestion4005	1	Answer4005_1	Answer4005_2	Answer4005_3	Answer4005_4
4006	RingQuestion4006	1	Answer4006_1	Answer4006_2	Answer4006_3	Answer4006_4
4007	RingQuestion4007	1	Answer4007_1	Answer4007_2	Answer4007_3	Answer4007_4
4008	RingQuestion4008	2	Answer4008_1	Answer4008_2	Answer4008_3	Answer4008_4
4009	RingQuestion4009	2	Answer4009_1	Answer4009_2	Answer4009_3	Answer4009_4
4010	RingQuestion4010	2	Answer4010_1	Answer4010_2	Answer4010_3	Answer4010_4
4011	RingQuestion4011	2	Answer4011_1	Answer4011_2	Answer4011_3	Answer4011_4
4012	RingQuestion4012	2	Answer4012_1	Answer4012_2	Answer4012_3	Answer4012_4
4013	RingQuestion4013	2	Answer4013_1	Answer4013_2	Answer4013_3	Answer4013_4
4014	RingQuestion4014	3	Answer4014_1	Answer4014_2	Answer4014_3	Answer4014_4
4015	RingQuestion4015	3	Answer4015_1	Answer4015_2	Answer4015_3	Answer4015_4
4016	RingQuestion4016	3	Answer4016_1	Answer4016_2	Answer4016_3	Answer4016_4
4017	RingQuestion4017	3	Answer4017_1	Answer4017_2	Answer4017_3	Answer4017_4
4018	RingQuestion4018	3	Answer4018_1	Answer4018_2	Answer4018_3	Answer4018_4
4019	RingQuestion4019	3	Answer4019_1	Answer4019_2	Answer4019_3	Answer4019_4
4020	RingQuestion4020	3	Answer4020_1	Answer4020_2	Answer4020_3	Answer4020_4
4021	RingQuestion4021	3	Answer4021_1	Answer4021_2	Answer4021_3	Answer4021_4
4022	RingQuestion4022	3	Answer4022_1	Answer4022_2	Answer4022_3	Answer4022_4
4023	RingQuestion4023	3	Answer4023_1	Answer4023_2	Answer4023_3	Answer4023_4
4024	RingQuestion4024	4	Answer4024_1	Answer4024_2	Answer4024_3	Answer4024_4
4025	RingQuestion4025	4	Answer4025_1	Answer4025_2	Answer4025_3	Answer4025_4
4026	RingQuestion4026	4	Answer4026_1	Answer4026_2	Answer4026_3	Answer4026_4
4027	RingQuestion4027	4	Answer4027_1	Answer4027_2	Answer4027_3	Answer4027_4
4028	RingQuestion4028	4	Answer4028_1	Answer4028_2	Answer4028_3	Answer4028_4
4029	RingQuestion4029	4	Answer4029_1	Answer4029_2	Answer4029_3	Answer4029_4
4030	RingQuestion4030	4	Answer4030_1	Answer4030_2	Answer4030_3	Answer4030_4
4031	RingQuestion4031	4	Answer4031_1	Answer4031_2	Answer4031_3	Answer4031_4
4032	RingQuestion4032	4	Answer4032_1	Answer4032_2	Answer4032_3	Answer4032_4
4033	RingQuestion4033	4	Answer4033_1	Answer4033_2	Answer4033_3	Answer4033_4
4034	RingQuestion4034	1	Answer4034_1	Answer4034_2	Answer4034_3	Answer4034_4
4035	RingQuestion4035	1	Answer4035_1	Answer4035_2	Answer4035_3	Answer4035_4
4036	RingQuestion4036	1	Answer4036_1	Answer4036_2	Answer4036_3	Answer4036_4
4037	RingQuestion4037	1	Answer4037_1	Answer4037_2	Answer4037_3	Answer4037_4
4038	RingQuestion4038	1	Answer4038_1	Answer4038_2	Answer4038_3	Answer4038_4
4039	RingQuestion4039	1	Answer4039_1	Answer4039_2	Answer4039_3	Answer4039_4
4040	RingQuestion4040	1	Answer4040_1	Answer4040_2	Answer4040_3	Answer4040_4
4041	RingQuestion4041	1	Answer4041_1	Answer4041_2	Answer4041_3	Answer4041_4
4042	RingQuestion4042	1	Answer4042_1	Answer4042_2	Answer4042_3	Answer4042_4
4043	RingQuestion4043	1	Answer4043_1	Answer4043_2	Answer4043_3	Answer4043_4
4044	RingQuestion4044	1	Answer4044_1	Answer4044_2	Answer4044_3	Answer4044_4
4045	RingQuestion4045	1	Answer4045_1	Answer4045_2	Answer4045_3	Answer4045_4
4046	RingQuestion4046	1	Answer4046_1	Answer4046_2	Answer4046_3	Answer4046_4
4047	RingQuestion4047	1	Answer4047_1	Answer4047_2	Answer4047_3	Answer4047_4
4048	RingQuestion4048	1	Answer4048_1	Answer4048_2	Answer4048_3	Answer4048_4
4049	RingQuestion4049	2	Answer4049_1	Answer4049_2	Answer4049_3	Answer4049_4
4050	RingQuestion4050	2	Answer4050_1	Answer4050_2	Answer4050_3	Answer4050_4
4051	RingQuestion4051	2	Answer4051_1	Answer4051_2	Answer4051_3	Answer4051_4
4052	RingQuestion4052	2	Answer4052_1	Answer4052_2	Answer4052_3	Answer4052_4
4053	RingQuestion4053	2	Answer4053_1	Answer4053_2	Answer4053_3	Answer4053_4
4054	RingQuestion4054	2	Answer4054_1	Answer4054_2	Answer4054_3	Answer4054_4
4055	RingQuestion4055	2	Answer4055_1	Answer4055_2	Answer4055_3	Answer4055_4
4056	RingQuestion4056	2	Answer4056_1	Answer4056_2	Answer4056_3	Answer4056_4
4057	RingQuestion4057	2	Answer4057_1	Answer4057_2	Answer4057_3	Answer4057_4
4058	RingQuestion4058	2	Answer4058_1	Answer4058_2	Answer4058_3	Answer4058_4
4059	RingQuestion4059	3	Answer4059_1	Answer4059_2	Answer4059_3	Answer4059_4
4060	RingQuestion4060	3	Answer4060_1	Answer4060_2	Answer4060_3	Answer4060_4
4061	RingQuestion4061	3	Answer4061_1	Answer4061_2	Answer4061_3	Answer4061_4
4062	RingQuestion4062	3	Answer4062_1	Answer4062_2	Answer4062_3	Answer4062_4
4063	RingQuestion4063	3	Answer4063_1	Answer4063_2	Answer4063_3	Answer4063_4
4064	RingQuestion4064	3	Answer4064_1	Answer4064_2	Answer4064_3	Answer4064_4
4065	RingQuestion4065	3	Answer4065_1	Answer4065_2	Answer4065_3	Answer4065_4
4066	RingQuestion4066	3	Answer4066_1	Answer4066_2	Answer4066_3	Answer4066_4
4067	RingQuestion4067	3	Answer4067_1	Answer4067_2	Answer4067_3	Answer4067_4
4068	RingQuestion4068	3	Answer4068_1	Answer4068_2	Answer4068_3	Answer4068_4
4069	RingQuestion4069	4	Answer4069_1	Answer4069_2	Answer4069_3	Answer4069_4
4070	RingQuestion4070	4	Answer4070_1	Answer4070_2	Answer4070_3	Answer4070_4
4071	RingQuestion4071	4	Answer4071_1	Answer4071_2	Answer4071_3	Answer4071_4
4072	RingQuestion4072	4	Answer4072_1	Answer4072_2	Answer4072_3	Answer4072_4
4073	RingQuestion4073	4	Answer4073_1	Answer4073_2	Answer4073_3	Answer4073_4
4074	RingQuestion4074	4	Answer4074_1	Answer4074_2	Answer4074_3	Answer4074_4
4075	RingQuestion4075	4	Answer4075_1	Answer4075_2	Answer4075_3	Answer4075_4
4076	RingQuestion4076	4	Answer4076_1	Answer4076_2	Answer4076_3	Answer4076_4
4077	RingQuestion4077	4	Answer4077_1	Answer4077_2	Answer4077_3	Answer4077_4
4078	RingQuestion4078	4	Answer4078_1	Answer4078_2	Answer4078_3	Answer4078_4
4079	RingQuestion4079	4	Answer4079_1	Answer4079_2	Answer4079_3	Answer4079_4
4080	RingQuestion4080	4	Answer4080_1	Answer4080_2	Answer4080_3	Answer4080_4
4081	RingQuestion4081	4	Answer4081_1	Answer4081_2	Answer4081_3	Answer4081_4
4082	RingQuestion4082	4	Answer4082_1	Answer4082_2	Answer4082_3	Answer4082_4
4083	RingQuestion4083	4	Answer4083_1	Answer4083_2	Answer4083_3	Answer4083_4
4084	RingQuestion4084	4	Answer4084_1	Answer4084_2	Answer4084_3	Answer4084_4
4085	RingQuestion4085	4	Answer4085_1	Answer4085_2	Answer4085_3	Answer4085_4
